timestamp,user_id,event_type,trace_id,details
1773265555.0260851,User-001,started,trace_0464,"16 requests remaining (advanced 27%), 32,608 tokens at start"
1773265555.0766702,User-002,started,trace_0252,"466 requests, 89,509 initial tokens"
1773265555.1312125,User-003,started,trace_0411,"12 requests remaining (advanced 25%), 15,466 tokens at start"
1773265555.196655,User-004,started,trace_0154,"17 requests remaining (advanced 51%), 55,640 tokens at start"
1773265555.2731748,User-005,started,trace_0375,"71 requests remaining (advanced 49%), 98,248 tokens at start"
1773265555.3508546,User-006,started,trace_0110,"224 requests remaining (advanced 50%), 102,503 tokens at start"
1773265555.4382372,User-007,started,trace_0579,"173 requests remaining (advanced 52%), 125,189 tokens at start"
1773265555.5020652,User-008,started,trace_0216,"42 requests remaining (advanced 56%), 49,426 tokens at start"
1773265555.563662,User-009,started,trace_0235,"16 requests remaining (advanced 67%), 42,954 tokens at start"
1773265555.6493976,User-010,started,trace_0282,"55 requests remaining (advanced 55%), 105,698 tokens at start"
1773265555.712928,User-011,started,trace_0352,"38 requests remaining (advanced 34%), 45,245 tokens at start"
1773265555.7731795,User-012,started,trace_0558,"15 requests remaining (advanced 46%), 35,413 tokens at start"
1773265555.8378053,User-013,started,trace_0111,"87 requests remaining (advanced 45%), 53,444 tokens at start"
1773265555.9313738,User-014,started,trace_0176,"246 requests remaining (advanced 31%), 125,725 tokens at start"
1773265556.0090966,User-015,started,trace_0264,"225 requests remaining (advanced 33%), 95,643 tokens at start"
1773265556.082319,User-016,started,trace_0037,"9 requests remaining (advanced 68%), 86,908 tokens at start"
1773265556.1474726,User-017,started,trace_0010,"18 requests remaining (advanced 45%), 55,034 tokens at start"
1773265556.210487,User-018,started,trace_0145,"145 requests remaining (advanced 29%), 48,071 tokens at start"
1773265556.2779217,User-019,started,trace_0499,"7 requests remaining (advanced 46%), 62,549 tokens at start"
1773265556.3430858,User-020,started,trace_0195,"54 requests remaining (advanced 56%), 55,539 tokens at start"
1773265556.431357,User-021,started,trace_0410,"14 requests remaining (advanced 36%), 114,137 tokens at start"
1773265556.495817,User-022,started,trace_0288,"60 requests remaining (advanced 48%), 51,218 tokens at start"
1773265556.5726113,User-023,started,trace_0487,"17 requests remaining (advanced 59%), 100,154 tokens at start"
1773265556.641245,User-024,started,trace_0055,"99 requests remaining (advanced 33%), 67,793 tokens at start"
1773265556.700029,User-025,started,trace_0266,"52 requests remaining (advanced 50%), 31,137 tokens at start"
1773265556.781056,User-026,started,trace_0232,"57 requests remaining (advanced 58%), 105,270 tokens at start"
1773265556.8512943,User-027,started,trace_0044,"56 requests remaining (advanced 48%), 73,177 tokens at start"
1773265556.9015968,User-028,started,trace_0248,"466 requests, 89,509 initial tokens"
1773265556.968711,User-029,started,trace_0009,"14 requests remaining (advanced 58%), 56,106 tokens at start"
1773265557.0319774,User-030,started,trace_0562,"6 requests remaining (advanced 65%), 47,468 tokens at start"
1773265645.1243165,User-031,started,trace_0192,"205 requests remaining (advanced 32%), 82,234 tokens at start"
1773265675.0622962,User-032,started,trace_0025,"535 requests remaining (advanced 58%), 94,759 tokens at start"
1773265705.1207168,User-033,started,trace_0209,"48 requests remaining (advanced 68%), 83,951 tokens at start"
1773265705.1752903,User-034,started,trace_0476,"9 requests remaining (advanced 31%), 10,137 tokens at start"
1773265723.386595,User-030,completed,trace_0562,"17/17 requests, 82.5% cache hit"
1773265723.430042,User-035,started,trace_0565,"56 requests remaining (advanced 67%), 113,755 tokens at start"
1773265735.075947,User-036,started,trace_0181,"56 requests remaining (advanced 47%), 65,565 tokens at start"
1773265747.104608,User-003,completed,trace_0411,"16/16 requests, 91.2% cache hit"
1773265747.1332943,User-037,started,trace_0379,"70 requests remaining (advanced 59%), 83,384 tokens at start"
1773265795.0538232,User-038,started,trace_0568,"181 requests remaining (advanced 52%), 58,024 tokens at start"
1773265795.119155,User-039,started,trace_0597,"19 requests remaining (advanced 46%), 37,900 tokens at start"
1773265820.2018933,User-001,completed,trace_0464,"22/22 requests, 63.9% cache hit"
1773265820.2444084,User-040,started,trace_0005,"179 requests remaining (advanced 53%), 119,262 tokens at start"
1773265825.0865035,User-041,started,trace_0430,"11 requests remaining (advanced 48%), 19,971 tokens at start"
1773265842.645938,User-034,completed,trace_0476,"13/13 requests, 84.6% cache hit"
1773265842.69395,User-042,started,trace_0320,"38 requests remaining (advanced 41%), 122,593 tokens at start"
1773265885.0823708,User-043,started,trace_0013,"170 requests remaining (advanced 33%), 92,134 tokens at start"
1773265915.0550404,User-044,started,trace_0505,"16 requests remaining (advanced 41%), 14,950 tokens at start"
1773265915.14254,User-045,started,trace_0121,"79 requests remaining (advanced 58%), 94,573 tokens at start"
1773265945.0617614,User-046,started,trace_0294,"16 requests remaining (advanced 60%), 28,127 tokens at start"
1773265975.1333802,User-047,started,trace_0291,"54 requests remaining (advanced 60%), 54,414 tokens at start"
1773265975.1988497,User-048,started,trace_0569,"29 requests remaining (advanced 38%), 45,720 tokens at start"
1773266045.2287216,User-041,completed,trace_0430,"21/21 requests, 22.3% cache hit"
1773266045.2497993,User-049,started,trace_0196,"18 requests remaining (advanced 53%), 57,330 tokens at start"
1773266151.4920201,User-012,completed,trace_0558,"28/28 requests, 54.7% cache hit"
1773266151.5066512,User-050,started,trace_0506,"40 requests remaining (advanced 45%), 23,638 tokens at start"
1773266185.1140778,User-051,started,trace_0045,"295 requests remaining (advanced 64%), 148,099 tokens at start"
1773266215.108055,User-051,truncated,trace_0045,"525/820 requests, 0.0% cache hit"
1773266215.1339507,User-052,started,trace_0112,"66 requests remaining (advanced 28%), 72,483 tokens at start"
1773266227.3601272,User-039,completed,trace_0597,"35/35 requests, 25.0% cache hit"
